Aluno: Vitor Allace Marques Costa		6 periodo - BCC 2023

PID	|	EXEC	|	TP	|	CP	|	NES	|	nCPU
0		10000		128		129		8		9
0		10000		128		129		9		9
1		5000		229		230		8		8
1		5000		233		234		8		9
1		5000		233		234		9		9
2		7000		158		159		8		8
2		7000		162		163		8		9
2		7000		162		163		9		9
3		3000		169		170		8		8
3		3000		197		198		8		9
3		3000		197		198		9		9
4		3000		143		144		8		8
4		3000		161		162		8		9
4		3000		161		162		9		9
5		8000		88		89		8		8
5		8000		112		113		8		9
5		8000		112		113		9		9
6		2000		98		99		8		8
6		2000		123		124		8		9
6		2000		123		124		9		9
7		5000		141		142		8		8
7		5000		146		147		8		9
7		5000		146		147		9		9
8		4000		75		76		8		8
8		4000		84		85		8		9
8		4000		84		85		9		9
9		10000		134		135		8		8
9		10000		162		163		8		9
9		10000		162		163		9		9
0		10000		128		129		9		9
0		10000		140		141		9		10
0		10000		140		141		10		10
1		5000		233		234		9		9
1		5000		240		241		9		10
1		5000		240		241		10		10
2		7000		162		163		9		9
2		7000		178		179		9		10
2		7000		178		179		10		10
3		3000		197		198		9		9
3		3000		227		228		9		10
3		3000		227		228		10		10
4		3000		161		162		9		9
4		3000		180		181		9		10
4		3000		180		181		10		10
5		8000		112		113		9		9
5		8000		141		142		9		10
5		8000		141		142		10		10
6		2000		123		124		9		9
6		2000		150		151		9		10
6		2000		150		151		10		10
7		5000		146		147		9		9
7		5000		166		167		9		10
7		5000		166		167		10		10
8		4000		84		85		9		9
8		4000		95		96		9		10
8		4000		95		96		10		10
9		10000		162		163		9		9
9		10000		235		236		9		10
9		10000		235		236		10		10
0		10000		140		141		10		10
0		10000		161		162		10		11
0		10000		161		162		11		11
1		5000		240		241		10		10
1		5000		245		246		10		11
1		5000		245		246		11		11
2		7000		178		179		10		10
2		7000		182		183		10		11
2		7000		182		183		11		11
3		3000		227		228		10		10
3		3000		235		236		10		11
3		3000		235		236		11		11
4		3000		180		181		10		10
4		3000		221		222		10		11
4		3000		221		222		11		11
5		8000		141		142		10		10
5		8000		168		169		10		11
5		8000		168		169		11		11
6		2000		150		151		10		10
6		2000		159		160		10		11
6		2000		159		160		11		11
7		5000		166		167		10		10
7		5000		199		200		10		11
7		5000		199		200		11		11
8		4000		95		96		10		10
8		4000		99		100		10		11
8		4000		99		100		11		11
9		10000		235		236		10		10
9		10000		242		243		10		11
9		10000		242		243		11		11
0		10000		161		162		11		11
0		10000		165		166		11		12
0		10000		165		166		12		12
1		5000		245		246		11		11
1		5000		253		254		11		12
1		5000		253		254		12		12
2		7000		182		183		11		11
2		7000		187		188		11		12
2		7000		187		188		12		12
3		3000		235		236		11		11
3		3000		239		240		11		12
3		3000		239		240		12		12
4		3000		221		222		11		11
4		3000		223		224		11		12
4		3000		223		224		12		12
5		8000		168		169		11		11
5		8000		177		178		11		12
5		8000		177		178		12		12
6		2000		159		160		11		11
6		2000		176		177		11		12
6		2000		176		177		12		12
7		5000		199		200		11		11
7		5000		248		249		11		12
7		5000		248		249		12		12
8		4000		99		100		11		11
8		4000		104		105		11		12
8		4000		104		105		12		12
9		10000		242		243		11		11
9		10000		249		250		11		12
9		10000		249		250		12		12
0		10000		165		166		12		12
0		10000		175		176		12		13
0		10000		175		176		13		13
1		5000		253		254		12		12
1		5000		258		259		12		13
1		5000		258		259		13		13
2		7000		187		188		12		12
2		7000		189		190		12		13
2		7000		189		190		13		13
3		3000		239		240		12		12
3		3000		255		256		12		13
3		3000		255		256		13		13
4		3000		223		224		12		12
4		3000		227		228		12		13
4		3000		227		228		13		13
5		8000		177		178		12		12
5		8000		200		201		12		13
5		8000		200		201		13		13
6		2000		176		177		12		12
6		2000		179		180		12		13
6		2000		179		180		13		13
7		5000		248		249		12		12
7		5000		254		255		12		13
