Aluno: Vitor Allace Marques Costa		6 periodo - BCC 2023

PID	|	EXEC	|	TP	|	CP	|	NES	|	nCPU
9		10000		1767		1768		85		86
9		10000		1767		1768		86		86
0		10000		1477		1478		86		86
0		10000		1539		1540		86		87
0		10000		1539		1540		87		87
1		5000		1767		1768		86		86
1		5000		1788		1789		86		87
1		5000		1788		1789		87		87
2		7000		1427		1428		86		86
2		7000		1440		1441		86		87
2		7000		1440		1441		87		87
3		3000		1456		1457		86		86
3		3000		1484		1485		86		87
3		3000		1484		1485		87		87
4		3000		1718		1719		86		86
4		3000		1736		1737		86		87
4		3000		1736		1737		87		87
5		8000		1645		1646		86		86
5		8000		1671		1672		86		87
5		8000		1671		1672		87		87
6		2000		1223		1224		86		86
6		2000		1266		1267		86		87
6		2000		1266		1267		87		87
7		5000		1707		1708		86		86
7		5000		1719		1720		86		87
7		5000		1719		1720		87		87
8		4000		1301		1302		86		86
8		4000		1303		1304		86		87
8		4000		1303		1304		87		87
9		10000		1767		1768		86		86
9		10000		1779		1780		86		87
9		10000		1779		1780		87		87
0		10000		1539		1540		87		87
0		10000		1567		1568		87		88
0		10000		1567		1568		88		88
1		5000		1788		1789		87		87
1		5000		1791		1792		87		88
1		5000		1791		1792		88		88
2		7000		1440		1441		87		87
2		7000		1446		1447		87		88
2		7000		1446		1447		88		88
3		3000		1484		1485		87		87
3		3000		1492		1493		87		88
3		3000		1492		1493		88		88
4		3000		1736		1737		87		87
4		3000		1751		1752		87		88
4		3000		1751		1752		88		88
5		8000		1671		1672		87		87
5		8000		1680		1681		87		88
5		8000		1680		1681		88		88
6		2000		1266		1267		87		87
6		2000		1286		1287		87		88
6		2000		1286		1287		88		88
7		5000		1719		1720		87		87
7		5000		1733		1734		87		88
7		5000		1733		1734		88		88
8		4000		1303		1304		87		87
8		4000		1312		1313		87		88
8		4000		1312		1313		88		88
9		10000		1779		1780		87		87
9		10000		1812		1813		87		88
9		10000		1812		1813		88		88
0		10000		1567		1568		88		88
0		10000		1574		1575		88		89
0		10000		1574		1575		89		89
1		5000		1791		1792		88		88
1		5000		1835		1836		88		89
1		5000		1835		1836		89		89
2		7000		1446		1447		88		88
2		7000		1455		1456		88		89
2		7000		1455		1456		89		89
3		3000		1492		1493		88		88
3		3000		1518		1519		88		89
3		3000		1518		1519		89		89
4		3000		1751		1752		88		88
4		3000		1758		1759		88		89
4		3000		1758		1759		89		89
5		8000		1680		1681		88		88
5		8000		1700		1701		88		89
5		8000		1700		1701		89		89
6		2000		1286		1287		88		88
6		2000		1300		1301		88		89
6		2000		1300		1301		89		89
7		5000		1733		1734		88		88
7		5000		1767		1768		88		89
7		5000		1767		1768		89		89
8		4000		1312		1313		88		88
8		4000		1335		1336		88		89
8		4000		1335		1336		89		89
9		10000		1812		1813		88		88
9		10000		1837		1838		88		89
9		10000		1837		1838		89		89
0		10000		1574		1575		89		89
0		10000		1585		1586		89		90
0		10000		1585		1586		90		90
1		5000		1835		1836		89		89
1		5000		1865		1866		89		90
1		5000		1865		1866		90		90
2		7000		1455		1456		89		89
2		7000		1500		1501		89		90
2		7000		1500		1501		90		90
3		3000		1518		1519		89		89
3		3000		1546		1547		89		90
3		3000		1546		1547		90		90
4		3000		1758		1759		89		89
4		3000		1765		1766		89		90
4		3000		1765		1766		90		90
5		8000		1700		1701		89		89
5		8000		1726		1727		89		90
5		8000		1726		1727		90		90
6		2000		1300		1301		89		89
6		2000		1308		1309		89		90
6		2000		1308		1309		90		90
7		5000		1767		1768		89		89
7		5000		1821		1822		89		90
7		5000		1821		1822		90		90
8		4000		1335		1336		89		89
8		4000		1344		1345		89		90
8		4000		1344		1345		90		90
9		10000		1837		1838		89		89
9		10000		1892		1893		89		90
9		10000		1892		1893		90		90
0		10000		1585		1586		90		90
0		10000		1610		1611		90		91
0		10000		1610		1611		91		91
1		5000		1865		1866		90		90
1		5000		1952		1953		90		91
1		5000		1952		1953		91		91
2		7000		1500		1501		90		90
2		7000		1518		1519		90		91
2		7000		1518		1519		91		91
3		3000		1546		1547		90		90
3		3000		1556		1557		90		91
3		3000		1556		1557		91		91
4		3000		1765		1766		90		90
4		3000		1778		1779		90		91
4		3000		1778		1779		91		91
5		8000		1726		1727		90		90
5		8000		1739		1740		90		91
5		8000		1739		1740		91		91
6		2000		1308		1309		90		90
6		2000		1371		1372		90		91
6		2000		1371		1372		91		91
7		5000		1821		1822		90		90
7		5000		1829		1830		90		91
7		5000		1829		1830		91		91
8		4000		1344		1345		90		90
8		4000		1349		1350		90		91
8		4000		1349		1350		91		91
9		10000		1892		1893		90		90
9		10000		1903		1904		90		91
9		10000		1903		1904		91		91
0		10000		1610		1611		91		91
0		10000		1684		1685		91		92
0		10000		1684		1685		92		92
1		5000		1952		1953		91		91
1		5000		1982		1983		91		92
1		5000		1982		1983		92		92
2		7000		1518		1519		91		91
2		7000		1562		1563		91		92
2		7000		1562		1563		92		92
3		3000		1556		1557		91		91
3		3000		1571		1572		91		92
3		3000		1571		1572		92		92
4		3000		1778		1779		91		91
4		3000		1780		1781		91		92
4		3000		1780		1781		92		92
5		8000		1739		1740		91		91
5		8000		1753		1754		91		92
5		8000		1753		1754		92		92
6		2000		1371		1372		91		91
6		2000		1394		1395		91		92
6		2000		1394		1395		92		92
7		5000		1829		1830		91		91
7		5000		1834		1835		91		92
7		5000		1834		1835		92		92
8		4000		1349		1350		91		91
8		4000		1360		1361		91		92
8		4000		1360		1361		92		92
9		10000		1903		1904		91		91
9		10000		1936		1937		91		92
9		10000		1936		1937		92		92
0		10000		1684		1685		92		92
0		10000		1698		1699		92		93
0		10000		1698		1699		93		93
1		5000		1982		1983		92		92
1		5000		1992		1993		92		93
1		5000		1992		1993		93		93
2		7000		1562		1563		92		92
2		7000		1582		1583		92		93
2		7000		1582		1583		93		93
3		3000		1571		1572		92		92
3		3000		1610		1611		92		93
3		3000		1610		1611		93		93
4		3000		1780		1781		92		92
4		3000		1792		1793		92		93
4		3000		1792		1793		93		93
5		8000		1753		1754		92		92
5		8000		1765		1766		92		93
5		8000		1765		1766		93		93
6		2000		1394		1395		92		92
6		2000		1397		1398		92		93
6		2000		1397		1398		93		93
7		5000		1834		1835		92		92
7		5000		1850		1851		92		93
7		5000		1850		1851		93		93
8		4000		1360		1361		92		92
8		4000		1363		1364		92		93
8		4000		1363		1364		93		93
9		10000		1936		1937		92		92
9		10000		1971		1972		92		93
9		10000		1971		1972		93		93
0		10000		1698		1699		93		93
0		10000		1713		1714		93		94
0		10000		1713		1714		94		94
1		5000		1992		1993		93		93
1		5000		2001		2002		93		94
1		5000		2001		2002		94		94
2		7000		1582		1583		93		93
2		7000		1604		1605		93		94
2		7000		1604		1605		94		94
3		3000		1610		1611		93		93
3		3000		1612		1613		93		94
3		3000		1612		1613		94		94
4		3000		1792		1793		93		93
4		3000		1797		1798		93		94
4		3000		1797		1798		94		94
5		8000		1765		1766		93		93
5		8000		1780		1781		93		94
5		8000		1780		1781		94		94
6		2000		1397		1398		93		93
6		2000		1487		1488		93		94
6		2000		1487		1488		94		94
7		5000		1850		1851		93		93
7		5000		1860		1861		93		94
7		5000		1860		1861		94		94
8		4000		1363		1364		93		93
8		4000		1391		1392		93		94
8		4000		1391		1392		94		94
9		10000		1971		1972		93		93
9		10000		2005		2006		93		94
9		10000		2005		2006		94		94
0		10000		1713		1714		94		94
0		10000		1765		1766		94		95
0		10000		1765		1766		95		95
1		5000		2001		2002		94		94
1		5000		2019		2020		94		95
1		5000		2019		2020		95		95
2		7000		1604		1605		94		94
2		7000		1631		1632		94		95
2		7000		1631		1632		95		95
3		3000		1612		1613		94		94
3		3000		1702		1703		94		95
3		3000		1702		1703		95		95
4		3000		1797		1798		94		94
4		3000		1799		1800		94		95
4		3000		1799		1800		95		95
5		8000		1780		1781		94		94
5		8000		1799		1800		94		95
5		8000		1799		1800		95		95
6		2000		1487		1488		94		94
6		2000		1498		1499		94		95
6		2000		1498		1499		95		95
7		5000		1860		1861		94		94
7		5000		1894		1895		94		95
7		5000		1894		1895		95		95
8		4000		1391		1392		94		94
8		4000		1411		1412		94		95
8		4000		1411		1412		95		95
9		10000		2005		2006		94		94
9		10000		2045		2046		94		95
9		10000		2045		2046		95		95
0		10000		1765		1766		95		95
0		10000		1784		1785		95		96
0		10000		1784		1785		96		96
1		5000		2019		2020		95		95
1		5000		2021		2022		95		96
1		5000		2021		2022		96		96
2		7000		1631		1632		95		95
2		7000		1640		1641		95		96
2		7000		1640		1641		96		96
3		3000		1702		1703		95		95
3		3000		1714		1715		95		96
3		3000		1714		1715		96		96
4		3000		1799		1800		95		95
4		3000		1807		1808		95		96
4		3000		1807		1808		96		96
5		8000		1799		1800		95		95
5		8000		1816		1817		95		96
5		8000		1816		1817		96		96
6		2000		1498		1499		95		95
6		2000		1521		1522		95		96
6		2000		1521		1522		96		96
7		5000		1894		1895		95		95
7		5000		1912		1913		95		96
7		5000		1912		1913		96		96
8		4000		1411		1412		95		95
8		4000		1442		1443		95		96
8		4000		1442		1443		96		96
9		10000		2045		2046		95		95
9		10000		2048		2049		95		96
9		10000		2048		2049		96		96
0		10000		1784		1785		96		96
0		10000		1793		1794		96		97
0		10000		1793		1794		97		97
1		5000		2021		2022		96		96
1		5000		2057		2058		96		97
1		5000		2057		2058		97		97
2		7000		1640		1641		96		96
2		7000		1649		1650		96		97
2		7000		1649		1650		97		97
3		3000		1714		1715		96		96
3		3000		1732		1733		96		97
3		3000		1732		1733		97		97
4		3000		1807		1808		96		96
4		3000		1850		1851		96		97
4		3000		1850		1851		97		97
5		8000		1816		1817		96		96
5		8000		1826		1827		96		97
5		8000		1826		1827		97		97
6		2000		1521		1522		96		96
6		2000		1530		1531		96		97
6		2000		1530		1531		97		97
7		5000		1912		1913		96		96
7		5000		1923		1924		96		97
7		5000		1923		1924		97		97
8		4000		1442		1443		96		96
8		4000		1453		1454		96		97
8		4000		1453		1454		97		97
9		10000		2048		2049		96		96
9		10000		2053		2054		96		97
9		10000		2053		2054		97		97
0		10000		1793		1794		97		97
0		10000		1797		1798		97		98
0		10000		1797		1798		98		98
1		5000		2057		2058		97		97
1		5000		2062		2063		97		98
1		5000		2062		2063		98		98
2		7000		1649		1650		97		97
2		7000		1678		1679		97		98
2		7000		1678		1679		98		98
3		3000		1732		1733		97		97
3		3000		1764		1765		97		98
3		3000		1764		1765		98		98
4		3000		1850		1851		97		97
4		3000		1861		1862		97		98
4		3000		1861		1862		98		98
5		8000		1826		1827		97		97
5		8000		1858		1859		97		98
5		8000		1858		1859		98		98
6		2000		1530		1531		97		97
6		2000		1553		1554		97		98
6		2000		1553		1554		98		98
7		5000		1923		1924		97		97
7		5000		1938		1939		97		98
7		5000		1938		1939		98		98
8		4000		1453		1454		97		97
8		4000		1456		1457		97		98
8		4000		1456		1457		98		98
9		10000		2053		2054		97		97
9		10000		2089		2090		97		98
9		10000		2089		2090		98		98
0		10000		1797		1798		98		98
0		10000		1817		1818		98		99
0		10000		1817		1818		99		99
1		5000		2062		2063		98		98
1		5000		2070		2071		98		99
1		5000		2070		2071		99		99
2		7000		1678		1679		98		98
2		7000		1704		1705		98		99
2		7000		1704		1705		99		99
3		3000		1764		1765		98		98
3		3000		1775		1776		98		99
3		3000		1775		1776		99		99
4		3000		1861		1862		98		98
4		3000		1866		1867		98		99
4		3000		1866		1867		99		99
5		8000		1858		1859		98		98
5		8000		1874		1875		98		99
5		8000		1874		1875		99		99
6		2000		1553		1554		98		98
6		2000		1564		1565		98		99
6		2000		1564		1565		99		99
7		5000		1938		1939		98		98
7		5000		1941		1942		98		99
7		5000		1941		1942		99		99
8		4000		1456		1457		98		98
8		4000		1482		1483		98		99
8		4000		1482		1483		99		99
9		10000		2089		2090		98		98
9		10000		2108		2109		98		99
9		10000		2108		2109		99		99
0		10000		1817		1818		99		99
0		10000		1819		1820		99		100
0		10000		1819		1820		100		100
1		5000		2070		2071		99		99
1		5000		2088		2089		99		100
1		5000		2088		2089		100		100
2		7000		1704		1705		99		99
2		7000		1707		1708		99		100
2		7000		1707		1708		100		100
3		3000		1775		1776		99		99
3		3000		1778		1779		99		100
3		3000		1778		1779		100		100
4		3000		1866		1867		99		99
4		3000		1882		1883		99		100
4		3000		1882		1883		100		100
5		8000		1874		1875		99		99
5		8000		1878		1879		99		100
5		8000		1878		1879		100		100
6		2000		1564		1565		99		99
6		2000		1566		1567		99		100
6		2000		1566		1567		100		100
7		5000		1941		1942		99		99
7		5000		1968		1969		99		100
7		5000		1968		1969		100		100
8		4000		1482		1483		99		99
8		4000		1491		1492		99		100
8		4000		1491		1492		100		100
9		10000		2108		2109		99		99
9		10000		2112		2113		99		100
9		10000		2112		2113		100		100
0		10000		1819		1820		100		100
0		10000		1822		1823		100		101
0		10000		1822		1823		101		101
1		5000		2088		2089		100		100
1		5000		2106		2107		100		101
1		5000		2106		2107		101		101
2		7000		1707		1708		100		100
2		7000		1739		1740		100		101
2		7000		1739		1740		101		101
3		3000		1778		1779		100		100
3		3000		1791		1792		100		101
3		3000		1791		1792		101		101
4		3000		1882		1883		100		100
4		3000		1898		1899		100		101
4		3000		1898		1899		101		101
5		8000		1878		1879		100		100
5		8000		1889		1890		100		101
5		8000		1889		1890		101		101
6		2000		1566		1567		100		100
6		2000		1603		1604		100		101
6		2000		1603		1604		101		101
7		5000		1968		1969		100		100
7		5000		1981		1982		100		101
7		5000		1981		1982		101		101
8		4000		1491		1492		100		100
8		4000		1500		1501		100		101
8		4000		1500		1501		101		101
9		10000		2112		2113		100		100
9		10000		2120		2121		100		101
9		10000		2120		2121		101		101
0		10000		1822		1823		101		101
0		10000		1832		1833		101		102
0		10000		1832		1833		102		102
1		5000		2106		2107		101		101
1		5000		2127		2128		101		102
1		5000		2127		2128		102		102
2		7000		1739		1740		101		101
2		7000		1743		1744		101		102
2		7000		1743		1744		102		102
3		3000		1791		1792		101		101
3		3000		1797		1798		101		102
3		3000		1797		1798		102		102
4		3000		1898		1899		101		101
4		3000		1900		1901		101		102
4		3000		1900		1901		102		102
5		8000		1889		1890		101		101
5		8000		1893		1894		101		102
5		8000		1893		1894		102		102
6		2000		1603		1604		101		101
6		2000		1622		1623		101		102
6		2000		1622		1623		102		102
7		5000		1981		1982		101		101
7		5000		1990		1991		101		102
7		5000		1990		1991		102		102
8		4000		1500		1501		101		101
8		4000		1506		1507		101		102
8		4000		1506		1507		102		102
9		10000		2120		2121		101		101
9		10000		2125		2126		101		102
9		10000		2125		2126		102		102
0		10000		1832		1833		102		102
0		10000		1877		1878		102		103
0		10000		1877		1878		103		103
1		5000		2127		2128		102		102
1		5000		2129		2130		102		103
1		5000		2129		2130		103		103
2		7000		1743		1744		102		102
2		7000		1765		1766		102		103
2		7000		1765		1766		103		103
3		3000		1797		1798		102		102
3		3000		1839		1840		102		103
3		3000		1839		1840		103		103
4		3000		1900		1901		102		102
4		3000		1911		1912		102		103
4		3000		1911		1912		103		103
5		8000		1893		1894		102		102
5		8000		1924		1925		102		103
5		8000		1924		1925		103		103
6		2000		1622		1623		102		102
6		2000		1633		1634		102		103
6		2000		1633		1634		103		103
7		5000		1990		1991		102		102
7		5000		2029		2030		102		103
7		5000		2029		2030		103		103
8		4000		1506		1507		102		102
8		4000		1544		1545		102		103
8		4000		1544		1545		103		103
9		10000		2125		2126		102		102
9		10000		2160		2161		102		103
9		10000		2160		2161		103		103
0		10000		1877		1878		103		103
0		10000		1883		1884		103		104
0		10000		1883		1884		104		104
1		5000		2129		2130		103		103
1		5000		2132		2133		103		104
1		5000		2132		2133		104		104
2		7000		1765		1766		103		103
2		7000		1776		1777		103		104
2		7000		1776		1777		104		104
3		3000		1839		1840		103		103
3		3000		1860		1861		103		104
3		3000		1860		1861		104		104
4		3000		1911		1912		103		103
4		3000		1916		1917		103		104
4		3000		1916		1917		104		104
5		8000		1924		1925		103		103
5		8000		1985		1986		103		104
5		8000		1985		1986		104		104
6		2000		1633		1634		103		103
6		2000		1640		1641		103		104
6		2000		1640		1641		104		104
7		5000		2029		2030		103		103
7		5000		2041		2042		103		104
7		5000		2041		2042		104		104
8		4000		1544		1545		103		103
8		4000		1556		1557		103		104
8		4000		1556		1557		104		104
9		10000		2160		2161		103		103
9		10000		2198		2199		103		104
9		10000		2198		2199		104		104
0		10000		1883		1884		104		104
0		10000		1897		1898		104		105
0		10000		1897		1898		105		105
1		5000		2132		2133		104		104
1		5000		2163		2164		104		105
1		5000		2163		2164		105		105
2		7000		1776		1777		104		104
2		7000		1782		1783		104		105
2		7000		1782		1783		105		105
3		3000		1860		1861		104		104
3		3000		1914		1915		104		105
3		3000		1914		1915		105		105
4		3000		1916		1917		104		104
4		3000		1934		1935		104		105
4		3000		1934		1935		105		105
5		8000		1985		1986		104		104
5		8000		1993		1994		104		105
5		8000		1993		1994		105		105
6		2000		1640		1641		104		104
6		2000		1663		1664		104		105
6		2000		1663		1664		105		105
7		5000		2041		2042		104		104
7		5000		2047		2048		104		105
7		5000		2047		2048		105		105
8		4000		1556		1557		104		104
8		4000		1589		1590		104		105
8		4000		1589		1590		105		105
9		10000		2198		2199		104		104
9		10000		2204		2205		104		105
9		10000		2204		2205		105		105
0		10000		1897		1898		105		105
0		10000		1902		1903		105		106
0		10000		1902		1903		106		106
1		5000		2163		2164		105		105
1		5000		2166		2167		105		106
1		5000		2166		2167		106		106
2		7000		1782		1783		105		105
2		7000		1794		1795		105		106
2		7000		1794		1795		106		106
3		3000		1914		1915		105		105
3		3000		1932		1933		105		106
3		3000		1932		1933		106		106
4		3000		1934		1935		105		105
4		3000		1937		1938		105		106
4		3000		1937		1938		106		106
5		8000		1993		1994		105		105
5		8000		2000		2001		105		106
5		8000		2000		2001		106		106
6		2000		1663		1664		105		105
6		2000		1676		1677		105		106
6		2000		1676		1677		106		106
7		5000		2047		2048		105		105
7		5000		2088		2089		105		106
7		5000		2088		2089		106		106
8		4000		1589		1590		105		105
8		4000		1605		1606		105		106
8		4000		1605		1606		106		106
9		10000		2204		2205		105		105
9		10000		2221		2222		105		106
9		10000		2221		2222		106		106
0		10000		1902		1903		106		106
0		10000		1914		1915		106		107
0		10000		1914		1915		107		107
1		5000		2166		2167		106		106
1		5000		2171		2172		106		107
1		5000		2171		2172		107		107
2		7000		1794		1795		106		106
2		7000		1810		1811		106		107
2		7000		1810		1811		107		107
3		3000		1932		1933		106		106
3		3000		1937		1938		106		107
3		3000		1937		1938		107		107
4		3000		1937		1938		106		106
4		3000		1946		1947		106		107
4		3000		1946		1947		107		107
5		8000		2000		2001		106		106
5		8000		2004		2005		106		107
5		8000		2004		2005		107		107
6		2000		1676		1677		106		106
6		2000		1690		1691		106		107
6		2000		1690		1691		107		107
7		5000		2088		2089		106		106
7		5000		2125		2126		106		107
7		5000		2125		2126		107		107
8		4000		1605		1606		106		106
8		4000		1619		1620		106		107
8		4000		1619		1620		107		107
9		10000		2221		2222		106		106
9		10000		2228		2229		106		107
9		10000		2228		2229		107		107
0		10000		1914		1915		107		107
0		10000		1927		1928		107		108
0		10000		1927		1928		108		108
1		5000		2171		2172		107		107
1		5000		2207		2208		107		108
1		5000		2207		2208		108		108
2		7000		1810		1811		107		107
2		7000		1818		1819		107		108
2		7000		1818		1819		108		108
3		3000		1937		1938		107		107
3		3000		1941		1942		107		108
3		3000		1941		1942		108		108
4		3000		1946		1947		107		107
4		3000		1957		1958		107		108
4		3000		1957		1958		108		108
5		8000		2004		2005		107		107
5		8000		2044		2045		107		108
5		8000		2044		2045		108		108
6		2000		1690		1691		107		107
6		2000		1702		1703		107		108
6		2000		1702		1703		108		108
7		5000		2125		2126		107		107
7		5000		2141		2142		107		108
7		5000		2141		2142		108		108
8		4000		1619		1620		107		107
8		4000		1641		1642		107		108
8		4000		1641		1642		108		108
9		10000		2228		2229		107		107
9		10000		2255		2256		107		108
9		10000		2255		2256		108		108
0		10000		1927		1928		108		108
0		10000		1938		1939		108		109
0		10000		1938		1939		109		109
1		5000		2207		2208		108		108
1		5000		2220		2221		108		109
1		5000		2220		2221		109		109
2		7000		1818		1819		108		108
2		7000		1828		1829		108		109
2		7000		1828		1829		109		109
3		3000		1941		1942		108		108
3		3000		1987		1988		108		109
3		3000		1987		1988		109		109
4		3000		1957		1958		108		108
4		3000		1961		1962		108		109
4		3000		1961		1962		109		109
5		8000		2044		2045		108		108
5		8000		2055		2056		108		109
5		8000		2055		2056		109		109
6		2000		1702		1703		108		108
6		2000		1728		1729		108		109
6		2000		1728		1729		109		109
7		5000		2141		2142		108		108
7		5000		2144		2145		108		109
7		5000		2144		2145		109		109
8		4000		1641		1642		108		108
8		4000		1660		1661		108		109
8		4000		1660		1661		109		109
9		10000		2255		2256		108		108
9		10000		2285		2286		108		109
9		10000		2285		2286		109		109
0		10000		1938		1939		109		109
0		10000		1943		1944		109		110
0		10000		1943		1944		110		110
1		5000		2220		2221		109		109
1		5000		2224		2225		109		110
1		5000		2224		2225		110		110
2		7000		1828		1829		109		109
2		7000		1832		1833		109		110
2		7000		1832		1833		110		110
3		3000		1987		1988		109		109
3		3000		2000		2001		109		110
3		3000		2000		2001		110		110
4		3000		1961		1962		109		109
4		3000		1971		1972		109		110
4		3000		1971		1972		110		110
5		8000		2055		2056		109		109
5		8000		2061		2062		109		110
5		8000		2061		2062		110		110
6		2000		1728		1729		109		109
6		2000		1731		1732		109		110
6		2000		1731		1732		110		110
7		5000		2144		2145		109		109
7		5000		2148		2149		109		110
7		5000		2148		2149		110		110
8		4000		1660		1661		109		109
8		4000		1668		1669		109		110
8		4000		1668		1669		110		110
9		10000		2285		2286		109		109
9		10000		2291		2292		109		110
9		10000		2291		2292		110		110
0		10000		1943		1944		110		110
0		10000		1949		1950		110		111
0		10000		1949		1950		111		111
1		5000		2224		2225		110		110
1		5000		2232		2233		110		111
1		5000		2232		2233		111		111
2		7000		1832		1833		110		110
2		7000		1836		1837		110		111
2		7000		1836		1837		111		111
3		3000		2000		2001		110		110
3		3000		2020		2021		110		111
3		3000		2020		2021		111		111
4		3000		1971		1972		110		110
4		3000		1974		1975		110		111
4		3000		1974		1975		111		111
5		8000		2061		2062		110		110
5		8000		2064		2065		110		111
5		8000		2064		2065		111		111
6		2000		1731		1732		110		110
6		2000		1746		1747		110		111
6		2000		1746		1747		111		111
7		5000		2148		2149		110		110
7		5000		2212		2213		110		111
7		5000		2212		2213		111		111
8		4000		1668		1669		110		110
8		4000		1691		1692		110		111
8		4000		1691		1692		111		111
9		10000		2291		2292		110		110
9		10000		2310		2311		110		111
9		10000		2310		2311		111		111
0		10000		1949		1950		111		111
0		10000		2006		2007		111		112
0		10000		2006		2007		112		112
1		5000		2232		2233		111		111
1		5000		2246		2247		111		112
1		5000		2246		2247		112		112
2		7000		1836		1837		111		111
2		7000		1846		1847		111		112
2		7000		1846		1847		112		112
3		3000		2020		2021		111		111
3		3000		2029		2030		111		112
3		3000		2029		2030		112		112
4		3000		1974		1975		111		111
4		3000		2009		2010		111		112
4		3000		2009		2010		112		112
5		8000		2064		2065		111		111
5		8000		2067		2068		111		112
5		8000		2067		2068		112		112
6		2000		1746		1747		111		111
6		2000		1791		1792		111		112
6		2000		1791		1792		112		112
7		5000		2212		2213		111		111
7		5000		2224		2225		111		112
7		5000		2224		2225		112		112
8		4000		1691		1692		111		111
8		4000		1733		1734		111		112
8		4000		1733		1734		112		112
9		10000		2310		2311		111		111
9		10000		2325		2326		111		112
9		10000		2325		2326		112		112
0		10000		2006		2007		112		112
0		10000		2014		2015		112		113
0		10000		2014		2015		113		113
1		5000		2246		2247		112		112
1		5000		2250		2251		112		113
1		5000		2250		2251		113		113
2		7000		1846		1847		112		112
2		7000		1852		1853		112		113
2		7000		1852		1853		113		113
3		3000		2029		2030		112		112
3		3000		2048		2049		112		113
3		3000		2048		2049		113		113
4		3000		2009		2010		112		112
4		3000		2031		2032		112		113
4		3000		2031		2032		113		113
5		8000		2067		2068		112		112
5		8000		2069		2070		112		113
5		8000		2069		2070		113		113
6		2000		1791		1792		112		112
6		2000		1861		1862		112		113
6		2000		1861		1862		113		113
7		5000		2224		2225		112		112
7		5000		2243		2244		112		113
7		5000		2243		2244		113		113
8		4000		1733		1734		112		112
8		4000		1769		1770		112		113
8		4000		1769		1770		113		113
9		10000		2325		2326		112		112
9		10000		2364		2365		112		113
9		10000		2364		2365		113		113
0		10000		2014		2015		113		113
0		10000		2016		2017		113		114
0		10000		2016		2017		114		114
1		5000		2250		2251		113		113
1		5000		2317		2318		113		114
1		5000		2317		2318		114		114
2		7000		1852		1853		113		113
2		7000		1876		1877		113		114
2		7000		1876		1877		114		114
3		3000		2048		2049		113		113
3		3000		2072		2073		113		114
3		3000		2072		2073		114		114
4		3000		2031		2032		113		113
4		3000		2074		2075		113		114
4		3000		2074		2075		114		114
5		8000		2069		2070		113		113
5		8000		2074		2075		113		114
5		8000		2074		2075		114		114
6		2000		1861		1862		113		113
6		2000		1864		1865		113		114
6		2000		1864		1865		114		114
7		5000		2243		2244		113		113
7		5000		2248		2249		113		114
7		5000		2248		2249		114		114
8		4000		1769		1770		113		113
8		4000		1797		1798		113		114
8		4000		1797		1798		114		114
9		10000		2364		2365		113		113
9		10000		2377		2378		113		114
9		10000		2377		2378		114		114
0		10000		2016		2017		114		114
0		10000		2063		2064		114		115
0		10000		2063		2064		115		115
1		5000		2317		2318		114		114
1		5000		2324		2325		114		115
1		5000		2324		2325		115		115
2		7000		1876		1877		114		114
2		7000		1891		1892		114		115
2		7000		1891		1892		115		115
3		3000		2072		2073		114		114
3		3000		2146		2147		114		115
3		3000		2146		2147		115		115
4		3000		2074		2075		114		114
4		3000		2116		2117		114		115
4		3000		2116		2117		115		115
5		8000		2074		2075		114		114
5		8000		2078		2079		114		115
5		8000		2078		2079		115		115
6		2000		1864		1865		114		114
6		2000		1878		1879		114		115
6		2000		1878		1879		115		115
7		5000		2248		2249		114		114
7		5000		2264		2265		114		115
7		5000		2264		2265		115		115
8		4000		1797		1798		114		114
8		4000		1813		1814		114		115
8		4000		1813		1814		115		115
9		10000		2377		2378		114		114
9		10000		2394		2395		114		115
9		10000		2394		2395		115		115
0		10000		2063		2064		115		115
0		10000		2065		2066		115		116
0		10000		2065		2066		116		116
1		5000		2324		2325		115		115
1		5000		2358		2359		115		116
1		5000		2358		2359		116		116
2		7000		1891		1892		115		115
2		7000		1945		1946		115		116
2		7000		1945		1946		116		116
3		3000		2146		2147		115		115
3		3000		2164		2165		115		116
3		3000		2164		2165		116		116
4		3000		2116		2117		115		115
4		3000		2140		2141		115		116
4		3000		2140		2141		116		116
5		8000		2078		2079		115		115
5		8000		2096		2097		115		116
5		8000		2096		2097		116		116
6		2000		1878		1879		115		115
6		2000		1903		1904		115		116
6		2000		1903		1904		116		116
7		5000		2264		2265		115		115
7		5000		2270		2271		115		116
7		5000		2270		2271		116		116
8		4000		1813		1814		115		115
8		4000		1827		1828		115		116
8		4000		1827		1828		116		116
9		10000		2394		2395		115		115
9		10000		2412		2413		115		116
9		10000		2412		2413		116		116
0		10000		2065		2066		116		116
0		10000		2070		2071		116		117
0		10000		2070		2071		117		117
1		5000		2358		2359		116		116
1		5000		2363		2364		116		117
1		5000		2363		2364		117		117
2		7000		1945		1946		116		116
2		7000		1949		1950		116		117
2		7000		1949		1950		117		117
3		3000		2164		2165		116		116
3		3000		2186		2187		116		117
3		3000		2186		2187		117		117
4		3000		2140		2141		116		116
4		3000		2155		2156		116		117
4		3000		2155		2156		117		117
5		8000		2096		2097		116		116
5		8000		2103		2104		116		117
5		8000		2103		2104		117		117
6		2000		1903		1904		116		116
6		2000		1915		1916		116		117
6		2000		1915		1916		117		117
7		5000		2270		2271		116		116
7		5000		2281		2282		116		117
7		5000		2281		2282		117		117
8		4000		1827		1828		116		116
8		4000		1838		1839		116		117
8		4000		1838		1839		117		117
